BSSID;Signal;X;Y
84:90:0a:36:07:69:;-88.0;2.58;6.390000000000001
84:90:0a:36:07:69:;-88.0;2.68;6.46
84:90:0a:36:07:69:;-88.0;2.65;6.34
84:90:0a:36:07:69:;-88.0;2.71;6.4
f4:ea:b5:dc:10:d5:;-87.0;2.58;6.390000000000001
f4:ea:b5:dc:10:d5:;-87.0;2.68;6.46
f4:ea:b5:dc:10:d5:;-87.0;2.65;6.34
f4:ea:b5:dc:10:d5:;-87.0;2.71;6.4
f4:ea:b5:dc:2b:95:;-86.0;2.58;6.390000000000001
f4:ea:b5:dc:2b:95:;-86.0;2.68;6.46
f4:ea:b5:dc:2b:95:;-86.0;2.65;6.34
f4:ea:b5:dc:2b:95:;-86.0;2.71;6.4
f4:ea:b5:dc:2b:94:;-86.0;2.58;6.390000000000001
f4:ea:b5:dc:2b:94:;-86.0;2.68;6.46
f4:ea:b5:dc:2b:94:;-86.0;2.65;6.34
f4:ea:b5:dc:2b:94:;-86.0;2.71;6.4
f4:ea:b5:dc:20:95:;-86.0;2.58;6.390000000000001
f4:ea:b5:dc:20:95:;-86.0;2.68;6.46
f4:ea:b5:dc:20:95:;-86.0;2.65;6.34
f4:ea:b5:dc:20:95:;-86.0;2.71;6.4
f4:ea:b5:dc:20:95:;-83.0;2.58;6.390000000000001
f4:ea:b5:dc:20:95:;-83.0;2.68;6.46
f4:ea:b5:dc:20:95:;-83.0;2.65;6.34
f4:ea:b5:dc:20:95:;-83.0;2.71;6.4
f4:ea:b5:dc:13:56:;-83.0;2.58;6.390000000000001
f4:ea:b5:dc:13:56:;-83.0;2.68;6.46
f4:ea:b5:dc:13:56:;-83.0;2.65;6.34
f4:ea:b5:dc:13:56:;-83.0;2.71;6.4
f4:ea:b5:dc:62:16:;-82.0;2.58;6.390000000000001
f4:ea:b5:dc:62:16:;-82.0;2.68;6.46
f4:ea:b5:dc:62:16:;-82.0;2.65;6.34
f4:ea:b5:dc:62:16:;-82.0;2.71;6.4
f4:ea:b5:dc:62:16:;-82.0;2.58;6.390000000000001
f4:ea:b5:dc:62:16:;-82.0;2.68;6.46
f4:ea:b5:dc:62:16:;-82.0;2.65;6.34
f4:ea:b5:dc:62:16:;-82.0;2.71;6.4
f4:ea:b5:dc:2b:94:;-82.0;2.58;6.390000000000001
f4:ea:b5:dc:2b:94:;-82.0;2.68;6.46
f4:ea:b5:dc:2b:94:;-82.0;2.65;6.34
f4:ea:b5:dc:2b:94:;-82.0;2.71;6.4
f4:ea:b5:dc:2b:95:;-80.0;2.58;6.390000000000001
f4:ea:b5:dc:2b:95:;-80.0;2.68;6.46
f4:ea:b5:dc:2b:95:;-80.0;2.65;6.34
f4:ea:b5:dc:2b:95:;-80.0;2.71;6.4
f4:ea:b5:dc:5f:96:;-79.0;2.58;6.390000000000001
f4:ea:b5:dc:5f:96:;-79.0;2.68;6.46
f4:ea:b5:dc:5f:96:;-79.0;2.65;6.34
f4:ea:b5:dc:5f:96:;-79.0;2.71;6.4
f4:ea:b5:dc:20:96:;-79.0;2.58;6.390000000000001
f4:ea:b5:dc:20:96:;-79.0;2.68;6.46
f4:ea:b5:dc:20:96:;-79.0;2.65;6.34
f4:ea:b5:dc:20:96:;-79.0;2.71;6.4
f4:ea:b5:dc:20:94:;-79.0;2.58;6.390000000000001
f4:ea:b5:dc:20:94:;-79.0;2.68;6.46
f4:ea:b5:dc:20:94:;-79.0;2.65;6.34
f4:ea:b5:dc:20:94:;-79.0;2.71;6.4
f4:ea:b5:dc:10:d6:;-78.0;2.58;6.390000000000001
f4:ea:b5:dc:10:d6:;-78.0;2.68;6.46
f4:ea:b5:dc:10:d6:;-78.0;2.65;6.34
f4:ea:b5:dc:10:d6:;-78.0;2.71;6.4
f4:ea:b5:dc:61:16:;-77.0;2.58;6.390000000000001
f4:ea:b5:dc:61:16:;-77.0;2.68;6.46
f4:ea:b5:dc:61:16:;-77.0;2.65;6.34
f4:ea:b5:dc:61:16:;-77.0;2.71;6.4
f4:ea:b5:dc:12:14:;-77.0;2.58;6.390000000000001
f4:ea:b5:dc:12:14:;-77.0;2.68;6.46
f4:ea:b5:dc:12:14:;-77.0;2.65;6.34
f4:ea:b5:dc:12:14:;-77.0;2.71;6.4
f4:ea:b5:dc:61:16:;-76.0;2.58;6.390000000000001
f4:ea:b5:dc:61:16:;-76.0;2.68;6.46
f4:ea:b5:dc:61:16:;-76.0;2.65;6.34
f4:ea:b5:dc:61:16:;-76.0;2.71;6.4
f4:ea:b5:dc:20:94:;-76.0;2.58;6.390000000000001
f4:ea:b5:dc:20:94:;-76.0;2.68;6.46
f4:ea:b5:dc:20:94:;-76.0;2.65;6.34
f4:ea:b5:dc:20:94:;-76.0;2.71;6.4
f4:ea:b5:dc:12:16:;-76.0;2.58;6.390000000000001
f4:ea:b5:dc:12:16:;-76.0;2.68;6.46
f4:ea:b5:dc:12:16:;-76.0;2.65;6.34
f4:ea:b5:dc:12:16:;-76.0;2.71;6.4
f4:ea:b5:dc:15:24:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:15:24:;-74.0;2.68;6.46
f4:ea:b5:dc:15:24:;-74.0;2.65;6.34
f4:ea:b5:dc:15:24:;-74.0;2.71;6.4
f4:ea:b5:dc:2a:54:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:2a:54:;-74.0;2.68;6.46
f4:ea:b5:dc:2a:54:;-74.0;2.65;6.34
f4:ea:b5:dc:2a:54:;-74.0;2.71;6.4
f4:ea:b5:dc:12:15:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:12:15:;-74.0;2.68;6.46
f4:ea:b5:dc:12:15:;-74.0;2.65;6.34
f4:ea:b5:dc:12:15:;-74.0;2.71;6.4
f4:ea:b5:dc:20:96:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:20:96:;-74.0;2.68;6.46
f4:ea:b5:dc:20:96:;-74.0;2.65;6.34
f4:ea:b5:dc:20:96:;-74.0;2.71;6.4
f4:ea:b5:dc:2a:56:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:2a:56:;-74.0;2.68;6.46
f4:ea:b5:dc:2a:56:;-74.0;2.65;6.34
f4:ea:b5:dc:2a:56:;-74.0;2.71;6.4
f4:ea:b5:dc:61:14:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:61:14:;-74.0;2.68;6.46
f4:ea:b5:dc:61:14:;-74.0;2.65;6.34
f4:ea:b5:dc:61:14:;-74.0;2.71;6.4
f4:ea:b5:dc:10:d4:;-74.0;2.58;6.390000000000001
f4:ea:b5:dc:10:d4:;-74.0;2.68;6.46
f4:ea:b5:dc:10:d4:;-74.0;2.65;6.34
f4:ea:b5:dc:10:d4:;-74.0;2.71;6.4
f4:ea:b5:dc:10:d4:;-73.0;2.58;6.390000000000001
f4:ea:b5:dc:10:d4:;-73.0;2.68;6.46
f4:ea:b5:dc:10:d4:;-73.0;2.65;6.34
f4:ea:b5:dc:10:d4:;-73.0;2.71;6.4
f4:ea:b5:dc:12:15:;-72.0;2.58;6.390000000000001
f4:ea:b5:dc:12:15:;-72.0;2.68;6.46
f4:ea:b5:dc:12:15:;-72.0;2.65;6.34
f4:ea:b5:dc:12:15:;-72.0;2.71;6.4
f4:ea:b5:dc:12:16:;-72.0;2.58;6.390000000000001
f4:ea:b5:dc:12:16:;-72.0;2.68;6.46
f4:ea:b5:dc:12:16:;-72.0;2.65;6.34
f4:ea:b5:dc:12:16:;-72.0;2.71;6.4
f4:ea:b5:dc:10:d4:;-72.0;2.58;6.390000000000001
f4:ea:b5:dc:10:d4:;-72.0;2.68;6.46
f4:ea:b5:dc:10:d4:;-72.0;2.65;6.34
f4:ea:b5:dc:10:d4:;-72.0;2.71;6.4
f4:ea:b5:dc:2a:56:;-72.0;2.58;6.390000000000001
f4:ea:b5:dc:2a:56:;-72.0;2.68;6.46
f4:ea:b5:dc:2a:56:;-72.0;2.65;6.34
